,resource,num_sweeps,num_reads,num_shots
0,1,1.0,1.0,1.0
1,2,2.0,1.0,1.0
2,3,3.0,1.0,1.0
3,4,4.0,1.0,1.0
4,5,5.0,1.0,1.0
5,6,6.0,1.0,1.0
6,7,7.0,1.0,1.0
7,9,9.0,1.0,1.0
8,11,11.0,1.0,1.0
9,14,14.0,1.0,1.0
10,17,17.0,1.0,1.0
11,20,19.0,1.0,1.0
12,25,24.0,1.0,1.0
13,31,30.0,1.0,1.0
14,37,37.0,1.0,1.0
15,46,44.0,1.0,1.0
16,56,56.0,1.0,1.0
17,68,68.0,1.0,1.0
18,84,77.0,1.0,1.0
19,102,100.0,1.0,1.0
20,125,125.0,1.0,1.0
21,153,148.0,1.0,1.0
22,187,171.0,1.0,1.0
23,229,227.0,1.0,1.0
24,280,280.0,1.0,1.0
25,342,340.0,1.0,1.0
26,418,400.0,1.0,1.0
27,511,500.0,1.0,1.0
28,625,620.0,1.0,1.0
29,765,760.0,1.0,1.0
30,935,880.0,1.0,1.0
31,1143,880.0,1.0,1.0
32,1398,880.0,1.0,1.0
33,1710,880.0,1.0,1.0
34,2091,880.0,1.0,1.0
35,2557,880.0,1.0,1.0
36,3127,880.0,1.0,1.0
37,3824,880.0,1.0,1.0
38,4676,880.0,1.0,1.0
39,5718,54.0,10.0,1.0
40,6992,65.0,10.0,1.0
41,8551,85.0,10.0,1.0
42,10456,103.0,10.0,1.0
43,12787,122.0,10.0,1.0
44,15637,143.0,10.0,1.0
45,19121,184.0,10.0,1.0
46,23383,222.0,10.0,1.0
47,28594,260.0,10.0,1.0
48,34967,320.0,10.0,1.0
49,42760,400.0,10.0,1.0
50,52290,500.0,10.0,1.0
51,63943,610.0,10.0,1.0
52,78194,780.0,10.0,1.0
53,95621,950.0,10.0,1.0
54,1069314,950.0,10.0,1.0
55,4372803,950.0,10.0,1.0
56,5347357,950.0,10.0,1.0
57,6539107,950.0,10.0,1.0
58,9778606,950.0,10.0,1.0
59,11957936,950.0,10.0,1.0
60,14622966,950.0,10.0,1.0
61,17881944,950.0,10.0,1.0
62,21867241,950.0,10.0,1.0
63,26740730,26.0,1000.0,1.0
64,32700359,32.0,1000.0,1.0
65,39988194,39.0,1000.0,1.0
66,48900247,46.0,1000.0,1.0
67,59798504,46.0,1000.0,1.0
68,73125623,73.0,1000.0,1.0
69,89422919,84.0,1000.0,1.0
70,109352346,102.0,1000.0,1.0
71,133723387,127.0,1000.0,1.0
72,163525931,158.0,1000.0,1.0
73,199970483,186.0,1000.0,1.0
74,244537325,244.0,1000.0,1.0
75,299036651,290.0,1000.0,1.0
76,365682085,360.0,1000.0,1.0
77,447180593,440.0,1000.0,1.0
78,546842437,540.0,1000.0,1.0
79,668715629,660.0,1000.0,1.0
80,817750346,810.0,1000.0,1.0
81,999999999,970.0,1000.0,1.0
