resource,num_sweeps,num_reads,num_shots
1,1.0,1.0,1.0
2,2.0,1.0,1.0
3,3.0,1.0,1.0
4,4.0,1.0,1.0
5,5.0,1.0,1.0
6,6.0,1.0,1.0
7,7.0,1.0,1.0
9,9.0,1.0,1.0
11,10.333333333333334,1.0,1.0
14,13.666666666666666,1.0,1.0
17,16.333333333333332,1.0,1.0
20,20.0,1.0,1.0
25,24.333333333333332,1.0,1.0
31,30.333333333333332,1.0,1.0
37,36.666666666666664,1.0,1.0
46,45.0,1.0,1.0
56,54.0,1.0,1.0
68,66.66666666666667,1.0,1.0
84,81.66666666666667,1.0,1.0
102,100.66666666666667,1.0,1.0
125,121.0,1.0,1.0
153,145.33333333333334,1.0,1.0
187,183.66666666666666,1.0,1.0
229,221.66666666666666,1.0,1.0
280,280.0,1.0,1.0
342,326.6666666666667,1.0,1.0
418,403.3333333333333,1.0,1.0
511,496.6666666666667,1.0,1.0
625,580.0,1.0,1.0
765,733.3333333333334,1.0,1.0
935,910.0,1.0,1.0
1143,910.0,1.0,1.0
1398,910.0,1.0,1.0
1710,910.0,1.0,1.0
2091,910.0,1.0,1.0
2557,910.0,1.0,1.0
3127,910.0,1.0,1.0
3824,616.0,4.0,1.0
4676,618.6666666666666,4.0,1.0
5718,334.0,7.0,1.0
6992,67.0,10.0,1.0
8551,82.66666666666667,10.0,1.0
10456,100.66666666666667,10.0,1.0
12787,122.0,10.0,1.0
15637,152.33333333333334,10.0,1.0
19121,185.33333333333334,10.0,1.0
23383,225.33333333333334,10.0,1.0
28594,254.33333333333334,10.0,1.0
34967,326.6666666666667,10.0,1.0
42760,410.0,10.0,1.0
52290,506.6666666666667,10.0,1.0
63943,586.6666666666666,10.0,1.0
78194,760.0,10.0,1.0
95621,920.0,10.0,1.0
1069314,920.0,10.0,1.0
4372803,920.0,10.0,1.0
5347357,920.0,10.0,1.0
6539107,920.0,10.0,1.0
9778606,920.0,10.0,1.0
11957936,920.0,10.0,1.0
14622966,920.0,10.0,1.0
17881944,920.0,10.0,1.0
21867241,324.0,670.0,1.0
26740730,25.666666666666668,1000.0,1.0
32700359,31.333333333333332,1000.0,1.0
39988194,39.0,1000.0,1.0
48900247,48.0,1000.0,1.0
59798504,59.0,1000.0,1.0
73125623,73.0,1000.0,1.0
89422919,84.0,1000.0,1.0
109352346,108.33333333333333,1000.0,1.0
133723387,133.0,1000.0,1.0
163525931,163.0,1000.0,1.0
199970483,199.0,1000.0,1.0
244537325,244.0,1000.0,1.0
299036651,290.0,1000.0,1.0
365682085,360.0,1000.0,1.0
447180593,440.0,1000.0,1.0
546842437,540.0,1000.0,1.0
668715629,660.0,1000.0,1.0
817750346,810.0,1000.0,1.0
999999999,990.0,1000.0,1.0
