,resource,response,response_lower,response_upper
0,1,0.024256797113632517,0.15294844122191345,-0.09645022818877218
1,2,0.6404329688554538,0.6997466396880349,0.5795823758342081
2,3,0.7635284165575489,0.8163340614641567,0.7090284005780524
3,4,0.8136992252990572,0.8650668952114052,0.7642565256221648
4,5,0.8414583103383021,0.8955529364120883,0.7898315730590383
5,6,0.8536250260216197,0.9040344380349534,0.8038694697590504
6,7,0.8632885660494284,0.9178868664909029,0.8127514321082234
7,9,0.87745429284048,0.9316552121546987,0.8271878136647605
8,11,0.882095180930091,0.9369280125693189,0.8299318047121953
9,14,0.8887573131074428,0.9442621803520007,0.8376788720395382
10,17,0.8932450521336243,0.9491014244691297,0.8383131560919107
11,20,0.8969603919952013,0.9462152600254585,0.8466207149715611
12,25,0.9053740033217008,0.9542278161012708,0.8559696835282358
13,31,0.9113270789385451,0.9635728622378105,0.8583545173724949
14,37,0.9211131387344507,0.9694570916725609,0.8728046515485118
15,46,0.9288389270241452,0.9746078542033375,0.8795947781735803
16,56,0.9351199255418403,0.9784584898207155,0.8890642591762022
17,68,0.9415444284597361,0.9836995185665312,0.8979221474045894
18,84,0.9507771633019065,0.9873330288080728,0.9161195856482633
19,102,0.9542593686282888,0.9904029663207133,0.9202075668411375
20,125,0.9575468729404122,0.9937416648653272,0.9268202511737682
21,153,0.9644605297857484,0.9956396109287309,0.9352120367209121
22,187,0.9665414427441399,0.9967618127081007,0.9370378066994549
23,229,0.9719903429462478,0.9972080498871893,0.9432513370540367
24,280,0.9741232936198507,0.9977271765626977,0.9455369389834226
25,342,0.9787101339889964,0.9999532721541026,0.9570354545024382
26,418,0.9792873711147072,0.9999532721541026,0.9578144772646814
27,511,0.9821204294431177,1.0,0.9611565974678399
28,625,0.9832385247677252,0.9999532721541026,0.9640482410360395
29,765,0.9858069617822944,1.0,0.9665151869254466
30,935,0.9864355934149223,1.0,0.9680258434359437
31,1143,0.9864355934149223,1.0,0.9680258434359437
32,1398,0.9864355934149223,1.0,0.9680258434359437
33,1710,0.9864355934149223,1.0,0.9680258434359437
34,2091,0.9864355934149223,1.0,0.9680258434359437
35,2557,0.9864355934149223,1.0,0.9680258434359437
36,3127,0.9864355934149223,1.0,0.9680258434359437
37,3824,0.9864355934149223,1.0,0.9680258434359437
38,4676,0.9864355934149223,1.0,0.9680258434359437
39,5718,0.9879542497862198,0.9994341454785941,0.9755252377313878
40,6992,0.9917802633131495,1.0,0.9821010838968197
41,8551,0.9937025252692567,1.0,0.986489354449847
42,10456,0.9949238691312381,1.0,0.9908499582497953
43,12787,0.9960591458233062,1.0,0.9929176780902593
44,15637,0.9974599662285654,1.0,0.9948662684319703
45,19121,0.9983354196373599,1.0,0.9965928111954802
46,23383,0.999029108483553,1.0,0.9972080498871893
47,28594,0.9992677635444247,1.0,0.9995430902236465
48,34967,0.9995638707374855,1.0,0.9999532721541025
49,42760,0.9996804631999852,1.0,0.9999532721541025
50,52290,0.999812419402207,1.0,0.9999532721541025
51,63943,0.9999457276074746,1.0,1.0
52,78194,0.9999656590571226,1.0,1.0
53,95621,0.999977801482587,1.0,1.0
54,1069314,0.999977801482587,1.0,1.0
55,4372803,0.999977801482587,1.0,1.0
56,5347357,0.999977801482587,1.0,1.0
57,6539107,0.999977801482587,1.0,1.0
58,9778606,0.999977801482587,1.0,1.0
59,11957936,0.999977801482587,1.0,1.0
60,14622966,0.999977801482587,1.0,1.0
61,17881944,0.999977801482587,1.0,1.0
62,21867241,0.999977801482587,1.0,1.0
63,26740730,0.9999867852544538,1.0,1.0
64,32700359,0.9999887293385056,1.0,1.0
65,39988194,0.9999999532721544,1.0,1.0
66,48900247,1.0000000000000002,1.0,1.0
67,59798504,1.0000000000000002,1.0,1.0
68,73125623,1.0000000000000002,1.0,1.0
69,89422919,1.0000000000000002,1.0,1.0
70,109352346,1.0000000000000002,1.0,1.0
71,133723387,1.0000000000000002,1.0,1.0
72,163525931,1.0000000000000002,1.0,1.0
73,199970483,1.0000000000000002,1.0,1.0
74,244537325,1.0000000000000002,1.0,1.0
75,299036651,1.0000000000000002,1.0,1.0
76,365682085,1.0000000000000002,1.0,1.0
77,447180593,1.0000000000000002,1.0,1.0
78,546842437,1.0000000000000002,1.0,1.0
79,668715629,1.0000000000000002,1.0,1.0
80,817750346,1.0000000000000002,1.0,1.0
81,999999999,1.0000000000000002,1.0,1.0
