,resource,response,response_lower,response_upper
0,1,0.024256797113632517,0.15294844122191345,-0.09645022818877218
1,2,0.6404329688554538,0.6997466396880349,0.5795823758342081
2,3,0.7635284165575489,0.8163340614641567,0.7090284005780524
3,4,0.8136992252990572,0.8650668952114052,0.7642565256221648
4,5,0.8414583103383021,0.8955529364120883,0.7898315730590383
5,6,0.8536250260216197,0.9040344380349534,0.8038694697590504
6,7,0.8632885660494284,0.9178868664909029,0.8127514321082234
7,9,0.87745429284048,0.9316552121546987,0.8271878136647605
8,11,0.882095180930091,0.9369280125693189,0.8299318047121953
9,14,0.8902007344122388,0.944545806987242,0.8343600662588928
10,17,0.8932450521336243,0.9491014244691297,0.8383131560919107
11,20,0.8969603919952013,0.9462152600254585,0.8466207149715611
12,25,0.9053740033217008,0.9542278161012708,0.8559696835282358
13,31,0.9113270789385451,0.9635728622378105,0.8583545173724949
14,37,0.9211131387344507,0.9694570916725609,0.8728046515485118
15,46,0.9269595253511357,0.9738093835345604,0.8802142299231003
16,56,0.933350976841404,0.977245010680304,0.8866636808212086
17,68,0.9422539487264169,0.9861225058720929,0.89874303015239
18,84,0.9472425991714286,0.9873330288080728,0.9068421365848683
19,102,0.9522565913985521,0.9879648626745069,0.9182942801832952
20,125,0.9596413705056812,0.9929176780902594,0.9295137384766723
21,153,0.9644605297857484,0.9956396109287309,0.9352120367209121
22,187,0.9670696636119525,0.9959044169266912,0.9375465584173037
23,229,0.9725586521932025,0.9973169946322417,0.9421812316928335
24,280,0.9756455393361176,0.9999532721541026,0.9519300254323991
25,342,0.9779583342276248,0.9999532721541026,0.9513816021156846
26,418,0.9794630794043043,0.9999532721541026,0.9561352932670016
27,511,0.9809910215746501,0.9999532721541026,0.9608758076405041
28,625,0.9847500579832711,1.0,0.9657733778120118
29,765,0.9856478410912387,1.0,0.9674810023487218
30,935,0.9862863293266523,1.0,0.9674155214844448
31,1143,0.9862863293266523,1.0,0.9674155214844448
32,1398,0.9862863293266523,1.0,0.9674155214844448
33,1710,0.9862863293266523,1.0,0.9674155214844448
34,2091,0.9862863293266523,1.0,0.9674155214844448
35,2557,0.9862863293266523,1.0,0.9674155214844448
36,3127,0.9862863293266523,1.0,0.9674155214844448
37,3824,0.9862863293266523,1.0,0.9674155214844448
38,4676,0.9862863293266523,1.0,0.9674155214844448
39,5718,0.9882133486379804,0.9994341454785941,0.9756764602352991
40,6992,0.9901727656128214,0.9999532721541026,0.9804767695697963
41,8551,0.9937568380506763,1.0,0.9869923517295988
42,10456,0.9953682850205939,1.0,0.9913522248664389
43,12787,0.9962510291748138,1.0,0.9939969158630206
44,15637,0.9977636243486322,1.0,0.9957624768568586
45,19121,0.9981867948461526,1.0,0.996622493187743
46,23383,0.999029108483553,1.0,0.9972080498871893
47,28594,0.9992677635444247,1.0,0.9995430902236465
48,34967,0.9995769287718218,1.0,0.9999532721541025
49,42760,0.9996804631999852,1.0,0.9999532721541025
50,52290,0.999812419402207,1.0,0.9999532721541025
51,63943,0.9999457276074746,1.0,1.0
52,78194,0.999946909578468,1.0,1.0
53,95621,0.9999764476017736,1.0,1.0
54,1069314,0.9999764476017736,1.0,1.0
55,4372803,0.9999764476017736,1.0,1.0
56,5347357,0.9999764476017736,1.0,1.0
57,6539107,0.9999764476017736,1.0,1.0
58,9778606,0.9999764476017736,1.0,1.0
59,11957936,0.9999764476017736,1.0,1.0
60,14622966,0.9999764476017736,1.0,1.0
61,17881944,0.9999764476017736,1.0,1.0
62,21867241,0.9999764476017736,1.0,1.0
63,26740730,0.9999964478835702,1.0,1.0
64,32700359,1.0000000000000002,1.0,1.0
65,39988194,1.0000000000000002,1.0,1.0
66,48900247,1.0000000000000002,1.0,1.0
67,59798504,1.0000000000000002,1.0,1.0
68,73125623,1.0000000000000002,1.0,1.0
69,89422919,1.0000000000000002,1.0,1.0
70,109352346,1.0000000000000002,1.0,1.0
71,133723387,1.0000000000000002,1.0,1.0
72,163525931,1.0000000000000002,1.0,1.0
73,199970483,1.0000000000000002,1.0,1.0
74,244537325,1.0000000000000002,1.0,1.0
75,299036651,1.0000000000000002,1.0,1.0
76,365682085,1.0000000000000002,1.0,1.0
77,447180593,1.0000000000000002,1.0,1.0
78,546842437,1.0000000000000002,1.0,1.0
79,668715629,1.0000000000000002,1.0,1.0
80,817750346,1.0000000000000002,1.0,1.0
81,999999999,1.0000000000000002,1.0,1.0
